Full Management address,Service Name,Service Number,Enrollment total,Max licensed positions total,Count Service Number,Owner name,Funder name,Company source link,Owner source link,Additional source if necessary,Methodology to link,Notes
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens Sunbeam,5458,49,40,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens Templeton,5459,33,40,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens Terrace,5488,22,40,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens The Bays,5438,39,32,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens Trengrove,5460,31,40,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens Vickery Street,5461,37,40,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens Wakatipu,5625,26,40,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens Wales Street,5462,54,40,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens West Rolleston,47354,38,40,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens Wigram,5463,19,40,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440",Kidsfirst Kindergartens Woolley Street,5464,20,40,1,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"P O Box 8089, Riccarton Christchurch 8440 Total",,,2346,2454,66,Kidsfirst Kindergartens,Charity,https://www.kidsfirst.co.nz/about-kindergarten-__I.114521,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f94b9e6f-9506-dd11-99cd-0015c5f3da29&searchId=220ee9d1-cb79-4add-9c3e-958cad6ff73f,,,Legal name of the charity is: Canterbury Westland Kindergarten Association Incorporated
"PO Box 628,  Whangaparaoa 0949",Busy Bees Aoraki,65084,83,61,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Ashburton,45723,85,75,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Avonhead,70381,73,65,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Brooklyn,45958,88,114,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Burwood,65059,76,65,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Carterton,45581,48,47,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Church Street,48165,92,100,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Dargaville,47088,93,89,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Douglas Street,30248,107,75,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Featherston Street,47739,67,75,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Feilding,47849,87,79,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Gladstone Road,47307,58,60,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Greytown,60349,72,65,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Hastings,46882,90,108,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Havelock North,45579,72,104,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Judsons Rd,46009,95,75,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Lake Terrace,65139,78,68,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Manchester Street,50131,86,78,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Mapua,65229,58,50,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Masterton,45719,70,62,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees McGarvey Road 1,45306,51,30,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees McGarvey Road 2,45305,60,50,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Motueka,47199,49,60,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Mount Wellington,25089,123,130,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees New Plymouth,46320,121,110,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Otahuhu,10051,77,100,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Pakuranga 1,10393,41,85,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Pakuranga 2,25090,54,120,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
"PO Box 628,  Whangaparaoa 0949",Busy Bees Papamoa Beach,46579,68,62,1,Busy Bees,Eagle Superco Limited,https://busybees.org.nz/about-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,
