service_number,service_name,telephone,email,service_address,street,suburb,town_city,service_type,definition,authority,x20_hours_ece,kme_peak_body,takiwa,equity_index_eqi,territorial_authority,urban_rural,regional_council,education_region,general_electorate,maori_electorate,neighbourhood_sa2_code,neighbourhood_sa2,ward,management_contact_name,full_management_address,management_postal_address,management_postal_suburb,management_postal_city,management_contact_phone,community_of_learning_id,community_of_learning_name,latitude,longitude,max_licenced_positions,max_under_2_s,age_0,age_1,age_2,age_3,age_4,age_5,total,european_pakeha,maori,pacific,asian,other
22024,Laingholm Playcentre,09-8388849,shailina.arora@playcentre.org.nz,"4 Lookout Drive,  Laingholm",4 Lookout Drive,,Laingholm,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Waitakere Ranges,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,New Lynn,Tamaki Makaurau,137500,Laingholm,Waitakere Ward,Shailina Arora,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.96345743,174.6277935,23,12,4,5,8,3,5,1,26,22,1,1,3,2
22025,Maungawhau Playcentre,09-638 6117,Shailina.Arora@playcentre.org.nz,"30 Marsden Avenue, Mount Eden Auckland",30 Marsden Avenue,Mount Eden,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Albert-Eden,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Mt Roskill,Tamaki Makaurau,139900,Mount Eden South,Albert-Eden-Roskill Ward,Shailina Arora,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.89374068,174.7552652,28,15,2,3,2,5,3,0,15,6,0,0,7,4
22026,Morningside Playcentre,09-815 7491,kiri.mccabe@playcentre.org.nz,"1A School Road, Western Springs Auckland",1A School Road,Western Springs,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Albert-Eden,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Mt Albert,Tamaki Makaurau,133600,Morningside (Auckland),Albert-Eden-Roskill Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.87263443,174.7372118,27,15,3,2,7,2,8,0,22,17,0,0,2,5
22027,Mt Albert Playcentre,09-8467963,kiri.mccabe@playcentre.org.nz,"25 Phyllis Street, Mount Albert Auckland",25 Phyllis Street,Mount Albert,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Albert-Eden,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Mt Albert,Tamaki Makaurau,131900,Mount Albert West,Albert-Eden-Roskill Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.885071430000004,174.7045205,30,15,10,7,9,3,5,2,36,29,3,0,6,6
22028,Newmarket Playcentre,09-524 9576,Shailina.Arora@playcentre.org.nz,"2 Hapua Street, Remuera Auckland",2 Hapua Street,Remuera,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Orakei,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Epsom,Tamaki Makaurau,139400,Remuera West,Orakei Ward,Shailina Arora,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.86600647,174.7897756,25,15,7,4,7,3,3,0,24,19,2,1,8,1
22029,New Windsor Playcentre,09-828 6290,kiri.mccabe@playcentre.org.nz,"64 Peter Buck Road, New Windsor Auckland",64 Peter Buck Road,New Windsor,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Whau,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Mt Roskill,Tamaki Makaurau,138300,New Windsor South,Whau Ward,Shailina Arora,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.90836622,174.7113884,28,15,0,6,5,6,7,0,24,13,1,0,11,1
22032,Titirangi Playcentre,09-8173003,shalina.arora@playcentre.org.nz,"500 South Titirangi Road, Titirangi Auckland",500 South Titirangi Road,Titirangi,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Waitakere Ranges,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,New Lynn,Tamaki Makaurau,136700,Titirangi South,Waitakere Ward,Shailina Arora,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.93930039,174.6556082,30,15,2,7,6,3,2,0,20,18,2,0,4,2
22033,Onehunga Playcentre,09-6221396,,"47 Hill Street, Onehunga Auckland",47 Hill Street,Onehunga,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Maungakiekie-Tamaki,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Maungakiekie,Tamaki Makaurau,144100,Onehunga West,Maungakiekie-Tamaki Ward,Kiri McCabe,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,09-4153321,99190,Te Iti Kahurangi Community of Learning,-36.92196763,174.7809406,30,15,32,5,2,4,7,0,50,39,5,4,11,4
22035,Aotea Island Playcentre,09-429 0600,aoteaisland@playcentre.org.nz,"Kaitoke Lane, Claris Great Barrier Island",Kaitoke Lane,Claris,Great Barrier Island,Playcentre,,Community based,Yes,,Te Tai Raro,EQI 4,Auckland - Great Barrier,Rural other,Auckland Region,Tāmaki Herenga Manawa,Auckland Central,Te Tai Tokerau,111800,Barrier Islands,Waitemata and Gulf Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.25796678,175.4723034,30,15,1,4,3,2,0,0,10,10,3,0,0,0
22038,Birkenhead Playcentre,09-480 9671,birkenhead@playcentre.org.nz,"16 Recreation Drive, Birkenhead Auckland",16 Recreation Drive,Birkenhead,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Kaipatiki,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,126500,Birkenhead North,North Shore Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.80587686,174.7243082,30,15,5,7,10,12,8,0,42,41,4,2,2,2
22039,Coatesville Playcentre,09-415 8547,northern.csc@playcentre.org.nz,"12 Mahoenui Valley Road,  Coatesville",12 Mahoenui Valley Road,,Coatesville,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Rodney,Rural other,Auckland Region,Tāmaki Herenga Tāngata,Whangaparaoa,Te Tai Tokerau,115500,Coatesville,Rodney Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.71703028,174.6438836,30,20,15,4,7,7,0,0,33,32,0,0,1,2
22041,Greenhithe Playcentre,09-413 5039,rachel.rix-trott@playcentre.org.nz,"15 A Greenhithe Road, Greenhithe Auckland",15 A Greenhithe Road,Greenhithe,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Upper Harbour,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,Upper Harbour,Te Tai Tokerau,118900,Greenhithe West,Albany Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.77494216,174.6725281,30,15,8,8,7,6,1,0,30,27,3,1,3,0
22042,Kaukapakapa Playcentre,09-420 5308,rachel.rix-trott@playcentre.org.nz,"Sinclair Park Macky Road,  Kaukapakapa",Sinclair Park Macky Road,,Kaukapakapa,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Rodney,Rural settlement,Auckland Region,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,111600,Te Kuru,Rodney Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.63257813,174.5000208,29,15,1,3,1,2,3,2,12,12,1,0,0,0
22043,Mairangi Bay Playcentre,09-478 3316,rachel.rix-trott@playcentre.org.nz,"112 Kowhai Road, Mairangi Bay Auckland",112 Kowhai Road,Mairangi Bay,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,122200,Campbells Bay,Albany Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.74645498,174.7518303,30,15,13,6,7,6,1,0,33,23,5,2,11,2
22044,Matakana Playcentre,09-422 9070,rachel.rix-trott@playcentre.org.nz,"3 Torea Road,  Matakana-Auckland",3 Torea Road,,Matakana-Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Rodney,Rural settlement,Auckland Region,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,110900,Dome Valley-Matakana,Rodney Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.35199287,174.716417,30,15,1,2,4,2,5,1,15,14,3,0,2,0
22045,Narrowneck Playcentre,027-8802756,narrowneck@playcentre.org.nz,"22 Handley Avenue, Devonport Auckland",22 Handley Avenue,Devonport,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Devonport-Takapuna,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,130700,Narrow Neck,North Shore Ward,Shailina Arora,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,99048,Devonport-Takapuna Kāhui Ako,-36.81431539,174.7989852,30,20,19,2,6,6,3,0,36,36,8,1,1,0
22047,Onepoto Playcentre,09-443 6359,onepoto@playcentre.org.nz,"51 Hillcrest Avenue, Northcote Auckland",51 Hillcrest Avenue,Northcote,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Kaipatiki,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,125600,Hillcrest North (Auckland),North Shore Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.79132985,174.7417387,28,20,16,1,2,4,1,0,24,22,5,3,2,0
22048,Red Beach Playcentre,027-880 4108,redbeach@playcentre.org.nz,"3 Bay Vista Drive,  Red Beach",3 Bay Vista Drive,,Red Beach,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Large urban area,Auckland Region,Tāmaki Herenga Tāngata,Whangaparaoa,Te Tai Tokerau,114000,Red Beach East,Albany Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.60543144,174.7013755,30,15,5,8,10,4,7,0,34,28,1,5,8,0
22050,Silverdale Playcentre,09-426 3282,rachel.rix-trott@playcentre.org.nz,"19 Wainui Road,  Silverdale",19 Wainui Road,,Silverdale,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Large urban area,Auckland Region,Tāmaki Herenga Tāngata,Whangaparaoa,Te Tai Tokerau,113800,Silverdale Central (Auckland),Albany Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.61594023,174.6780544,30,15,25,2,8,3,2,0,40,37,6,3,3,0
22051,Takapuna Playcentre,09-489 8366,northern.csc@playcentre.org.nz,"4/8 Auburn Street, Takapuna Auckland",4/8 Auburn Street,Takapuna,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Devonport-Takapuna,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,126600,Takapuna West,North Shore Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.78947387,174.7681493,30,15,21,4,3,2,4,0,34,23,2,1,10,4
22052,Takarunga Playcentre,027-880 2749,takarunga@playcentre.org.nz,"1-26 Kerr Street, Devonport Auckland",1-26 Kerr Street,Devonport,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Devonport-Takapuna,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,133000,Devonport,North Shore Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.8284331,174.7986846,29,11,1,5,1,9,2,0,18,16,3,0,0,1
22053,Torbay Playcentre,09-473 8077,rachel.rix-trott@playcentre.org.nz,"35 Watea Road, Torbay Auckland",35 Watea Road,Torbay,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,East Coast Bays,Te Tai Tokerau,117200,Torbay,Albany Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.69551584,174.7503655,29,15,5,4,4,5,4,0,22,19,0,2,4,0
22055,Waiheke Island Playcentre,09-372 9480,waihekeisland@playcentre.org.nz,"5A Albert Crescent, Ostend Waiheke Island",5A Albert Crescent,Ostend,Waiheke Island,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Waiheke,Small urban area,Auckland Region,Tāmaki Herenga Manawa,Auckland Central,Tamaki Makaurau,148700,Ostend,Waitemata and Gulf Ward,Shailina Arora,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,99088,Waiheke Kāhui Ako,-36.800512,175.0443651,30,15,3,8,4,8,0,2,25,25,3,1,0,1
22056,Warkworth Playcentre,09-425 8331,rachel.rix-trott@playcentre.org.nz,"Church Hill,  Warkworth",Church Hill,,Warkworth,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Rodney,Small urban area,Auckland Region,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,111300,Warkworth East,Rodney Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.40167321,174.6638635,30,15,0,6,3,2,4,0,15,13,3,0,4,0
22057,Whangaparaoa Playcentre,09-424 1090,rachel.rix-trott@playcentre.org.nz,"41 A Stanmore Bay Road,  Whangaparaoa",41 A Stanmore Bay Road,,Whangaparaoa,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Large urban area,Auckland Region,Tāmaki Herenga Tāngata,Whangaparaoa,Te Tai Tokerau,115200,Manly West,Albany Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.63203197,174.7491066,30,15,4,6,10,4,2,0,26,26,4,0,4,0
22058,Windy Ridge Playcentre,09-444 3949,northern.csc@playcentre.org.nz,"21A Tamahere Drive, Glenfield Auckland",21A Tamahere Drive,Glenfield,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Kaipatiki,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,123300,Glenfield South West,North Shore Ward,Rachel Rix-Trott,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.78748942,174.7116745,30,15,25,7,3,5,4,0,44,41,7,0,6,0
22059,Ellerslie Playcentre,09-5791974,,"8 Lawry Street, Ellerslie Auckland",8 Lawry Street,Ellerslie,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Orakei,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Maungakiekie,Tamaki Makaurau,144400,Ellerslie East,Orakei Ward,Shailina Arora,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.89439623,174.8209394,25,16,9,31,8,4,2,0,54,38,2,0,21,6
22060,Glen Innes Playcentre,09-8388849,Shailina.Arora@playcentre.org.nz,"109 A Taniwha Street, Glen Innes Auckland",109 A Taniwha Street,Glen Innes,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI 3,Auckland - Maungakiekie-Tamaki,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Tamaki,Tamaki Makaurau,145800,Glen Innes East-Wai O Taiki Bay,Maungakiekie-Tamaki Ward,Shailina Arora,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,,,,-36.87777608,174.8684534,23,15,7,5,3,7,1,0,23,20,1,3,3,3
22061,Mt Wellington Playcentre,09-8388849,kiri.mccabe@playcentre.org.nz,"174 Penrose Road, Mount Wellington Auckland",174 Penrose Road,Mount Wellington,Auckland,Playcentre,,Community based,Yes,,Te Tai Raro,EQI 4,Auckland - Maungakiekie-Tamaki,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Maungakiekie,Tamaki Makaurau,146200,Mount Wellington Ferndale,Maungakiekie-Tamaki Ward,Kiri McCabe,"P O Box 57217,  Porirua 5026",P O Box 57217,,Porirua 5026,09-4153321,,,-36.90683567,174.8294235,30,18,17,5,6,6,4,0,38,32,3,0,4,5
25000,Active Explorers Central Park,09-525 1694,cm.centralpark@activeexplorers.co.nz,"Building 9, 666 Great South Road, Ellerslie Auckland","Building 9, 666 Great South Road",Ellerslie,Auckland,Education & Care Service,,Privately owned,Yes,,Te Tai Raro,EQI > 5,Auckland - Maungakiekie-Tamaki,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Maungakiekie,Tamaki Makaurau,144200,Ellerslie West,Maungakiekie-Tamaki Ward,Sheree Davys,"Level 15 16 Kingston Street, Auckland Central Auckland 1010",Level 15 16 Kingston Street,Auckland Central,Auckland 1010,09-2960522,,,-36.90180681,174.8068841,50,10,2,3,3,5,3,2,18,7,0,5,11,2
25002,"Te Whare Punanga Takawaenga Atawhai O Aorere, Aorere College Childcare Centre",09-2790767,,"Claude Road, Papatoetoe Auckland",Claude Road,Papatoetoe,Auckland,Education & Care Service,,Community based,Yes,,Te Tai Raro,EQI 4,Auckland - Otara-Papatoetoe,Major urban area,Auckland Region,Tāmaki Herenga Waka,Mangere,Tamaki Makaurau,154200,Aorere South,Manukau Ward,Aroha Beach,"P O Box 23084, Hunters Corner South Auckland 2155",P O Box 23084,Hunters Corner,South Auckland 2155,09-279 0767,,,-36.9790884,174.8336087,40,6,0,1,7,5,7,0,20,6,9,13,8,0
25003,Karaka Learning Centre 4,09-2984199,info@karakalearning.co.nz,"113 Harbourside Drive, Karaka Auckland",113 Harbourside Drive,Karaka,Auckland,Education & Care Service,,Privately owned,Yes,,Te Tai Raro,EQI > 5,Auckland - Papakura,Major urban area,Auckland Region,Tāmaki Herenga Waka,Papakura,Hauraki-Waikato,162500,Hingaia,Manurewa-Papakura Ward,Rachel Waterson,"P O Box 72916, Papakura South Auckland 2244",P O Box 72916,Papakura,South Auckland 2244,09-2984199 Ext 8,,,-37.06935898,174.9264211,140,0,0,0,21,29,38,5,93,62,9,5,37,6
25004,The Wildlings Early Years,09-2680017,sam@thewildlings.co.nz,"32 McInnes Road, Weymouth Auckland",32 McInnes Road,Weymouth,Auckland,Education & Care Service,,Privately owned,Yes,,Te Tai Raro,EQI 3,Auckland - Manurewa,Major urban area,Auckland Region,Tāmaki Herenga Waka,Manurewa,Tamaki Makaurau,160700,Weymouth South,Manurewa-Papakura Ward,Samantha Christians,"32 McInnes Road, Weymouth Auckland 2102",32 McInnes Road,Weymouth,Auckland 2102,,99211,Te Korowai Kakahu o Manurewa Kāhui Ako,-37.04956906,174.859102,40,7,4,4,5,6,5,3,27,11,11,11,6,2
25005,Pukapuka Preschool,09-2759630,,"23 Canning Crescent, Mangere Auckland",23 Canning Crescent,Mangere,Auckland,Education & Care Service,Cook Island ECE Service,Community based,Yes,,Te Tai Raro,EQI 3,Auckland - Mangere-Otahuhu,Major urban area,Auckland Region,Tāmaki Herenga Waka,Mangere,Tamaki Makaurau,150200,Mangere Central,Manukau Ward,Tupuka Tikinau,"P O Box 43247, Mangere South Auckland 2022",P O Box 43247,Mangere,South Auckland 2022,09-2759630,,,-36.97157074,174.8033874,30,0,0,0,1,9,4,2,16,0,0,16,1,1
25006,Barnardos Early Learning Centre Mangere,09-275 5978,deloshnee.pillay@barnardos.org.nz,"33 Cape Road, Mangere Auckland",33 Cape Road,Mangere,Auckland,Education & Care Service,,Community based,Yes,,Te Tai Raro,EQI 2,Auckland - Mangere-Otahuhu,Major urban area,Auckland Region,Tāmaki Herenga Waka,Mangere,Tamaki Makaurau,150200,Mangere Central,Manukau Ward,Deloshnee Pillay,"P O Box 6434, Marion Square Wellington 6141",P O Box 6434,Marion Square,Wellington 6141,09-267 8394,,,-36.97087083,174.7961663,90,20,1,13,22,13,10,0,59,12,12,32,18,1
25007,Beachcomber Kindergarten,09-5348058,admin@beachcomberkindergarten.co.nz,"95 Hutchinsons Road, Howick South Auckland",95 Hutchinsons Road,Howick South,Auckland,Education & Care Service,,Privately owned,Yes,,Te Tai Raro,Not Applicable / Unknown,Auckland - Howick,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Pakuranga,Tamaki Makaurau,150400,Howick West,Howick Ward,Christine Philippe,"95 Hutchinsons Road, Howick South Auckland 2014",95 Hutchinsons Road,Howick,South Auckland 2014,09-5359248,,,-36.89286771,174.9151253,30,0,0,0,8,9,14,1,32,24,5,1,9,4
25009,St Andrews Chilton Kindergarten,09-5372282,,"11 Vincent Street, Howick Auckland",11 Vincent Street,Howick,Auckland,Education & Care Service,,Privately owned,Yes,,Te Tai Raro,EQI > 5,Auckland - Howick,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Pakuranga,Tamaki Makaurau,152000,Howick Central,Howick Ward,Janine Leaming,"P O Box 38590, Howick South Auckland 2145",P O Box 38590,Howick,South Auckland 2145,09-5372282,,,-36.89922492,174.9209298,35,0,0,0,5,6,5,1,17,13,0,2,3,1
25012,Pukeko Preschool Mangere East,09-276 2611,pukekopreschoolmangereeast@gmail.com,"5 Hain Avenue, Mangere East Auckland",5 Hain Avenue,Mangere East,Auckland,Education & Care Service,,Privately owned,Yes,,Te Tai Raro,EQI 3,Auckland - Mangere-Otahuhu,Major urban area,Auckland Region,Tāmaki Herenga Waka,Mangere,Tamaki Makaurau,152100,Massey Road North,Manukau Ward,Mira Mautner,"48 Waipa Street, Birkenhead Auckland 0626",48 Waipa Street,Birkenhead,Auckland 0626,09-482 2454,99124,Whakatipu Akoranga Kāhui Ako,-36.96553543,174.8281361,35,10,1,8,9,10,11,0,39,6,4,28,12,0
25013,Pakuranga Montessori Learning Centre,09-2131866,pmontessori2014@gmail.com,"71 Udys Road, Pakuranga Auckland",71 Udys Road,Pakuranga,Auckland,Education & Care Service,Montessori,Privately owned,Yes,,Te Tai Raro,EQI > 5,Auckland - Howick,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Pakuranga,Tamaki Makaurau,149800,Pakuranga Central,Howick Ward,Zheng (Summer) Wei,"15 Sarah Place, Farm Cove Auckland 2012",15 Sarah Place,Farm Cove,Auckland 2012,09-2131866,,,-36.91420657,174.8828541,39,0,0,0,9,13,17,1,40,5,1,4,34,0
25015,Howick Baptist Church Kindergarten,021-0412010,admin@hbckindy.nz,"17 Wellington Street, Howick Auckland",17 Wellington Street,Howick,Auckland,Education & Care Service,Baptist,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Howick,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Pakuranga,Tamaki Makaurau,152000,Howick Central,Howick Ward,Alison Stewart,"126A Bleakhouse Road, Mellons Bay Auckland 2014",126A Bleakhouse Road,Mellons Bay,Auckland 2014,09-534 7752,,,-36.89343038,174.9297014,50,0,0,0,0,8,15,0,23,10,0,1,12,2
25017,Kauri Kids Howick,09-535 7507,rebecca.hellowell@aucklandcouncil.govt.nz,"563 Pakuranga Road, Howick Auckland",563 Pakuranga Road,Howick,Auckland,Education & Care Service,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Howick,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Pakuranga,Tamaki Makaurau,151300,Highland Park (Auckland),Howick Ward,Rebecca Hellowell,"Victoria St, West Private Bag 92300,  Auckland 1142","Victoria St, West Private Bag 92300",,Auckland 1142,09-634330,,,-36.89921169,174.9155222,50,15,0,10,14,16,13,0,53,36,1,5,17,3
25019,Kiddy Winks Kindergarten,09-267 4933,admin@kiddywinks.org.nz,"9 Lupton Road, Manurewa Auckland",9 Lupton Road,Manurewa,Auckland,Education & Care Service,Baptist,Community based,Yes,,Te Tai Raro,EQI 4,Auckland - Manurewa,Major urban area,Auckland Region,Tāmaki Herenga Waka,Manurewa,Tamaki Makaurau,160100,Manurewa Central,Manurewa-Papakura Ward,Nicole Leach,"P O Box 75964, Manurewa Auckland 2243",P O Box 75964,Manurewa,Auckland 2243,09-266 8484,,,-37.02312338,174.8929485,30,0,0,0,4,14,6,2,26,4,3,7,7,8
25026,Immanuel Preschool (Mangere),09-277 9409,rachel@immanuelpreschool.ac.nz,"55 Hokianga Street, Mangere East Auckland",55 Hokianga Street,Mangere East,Auckland,Education & Care Service,,Privately owned,Yes,,Te Tai Raro,EQI 3,Auckland - Otara-Papatoetoe,Major urban area,Auckland Region,Tāmaki Herenga Waka,Mangere,Tamaki Makaurau,153600,Aorere Central,Manukau Ward,Rachel Talapati,"103A Terry Street, Blockhouse Bay Auckland 0600",103A Terry Street,Blockhouse Bay,Auckland 0600,09-627 4325,,,-36.97466928,174.8354973,23,8,1,4,2,6,10,1,24,3,2,12,11,0
25029,Litttle Learners Childcare,09-272 3344,littlelearners491@gmail.com,"491 Te Irirangi Drive, Flat Bush Manukau",491 Te Irirangi Drive,Flat Bush,Manukau,Education & Care Service,,Privately owned,Yes,,Te Tai Raro,EQI > 5,Auckland - Howick,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Botany,Tamaki Makaurau,156600,Dannemora South,Howick Ward,Benjamin Dragonson,"12 Driscoll Place, Farm Cove Auckland 2010",12 Driscoll Place,Farm Cove,Auckland 2010,09-272 3344,,,-36.95075442,174.9063572,50,20,1,8,10,10,8,1,38,15,6,7,21,3
25030,Manukau Institute Of Technology Children's Education Centre,09-9687715,liz.keneti@manukau.ac.nz,"Manukau Institute of Technology 61 Otara Road, Gate 11, Otara Auckland","Manukau Institute of Technology 61 Otara Road, Gate 11",Otara,Auckland,Education & Care Service,,Community based,Yes,,Te Tai Raro,EQI 3,Auckland - Otara-Papatoetoe,Major urban area,Auckland Region,Tāmaki Herenga Waka,Panmure-Otahuhu,Tamaki Makaurau,154400,Otara Central,Manukau Ward,Liz Keneti,"PO Box 19400,  Hamilton 3244",PO Box 19400,,Hamilton 3244,09-968 8642,,,-36.95426175,174.872103,90,30,3,10,12,14,10,0,49,14,17,22,18,0
25031,Te Kōhanga Reo o Manurewa,09-267 0955,,"33 Russell Road, Manurewa Auckland",33 Russell Road,Manurewa,Auckland,Te Kōhanga Reo,,Community based,Yes,Te Kōhanga Reo National Trust,Te Tai Raro,EQI 3,Auckland - Manurewa,Major urban area,Auckland Region,Tāmaki Herenga Waka,Manurewa,Tamaki Makaurau,160100,Manurewa Central,Manurewa-Papakura Ward,Kerry Jones,"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",P O Box 38741,Wellington Mail Centre,Lower Hutt 5045,04-381 8750,,,-37.02326297,174.889217,40,9,1,7,8,7,6,0,29,0,25,0,0,4
